0material_id,material_name,category,route,recycling_rate,energy_MJ_per_kg,carbon_kgCO2_per_kg,scrap_recovery_rate,mci,transport_km,renewable_share
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.88,17.89,0.9,0.86,0.76,987,0.18
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.88,11.14,0.64,0.92,0.81,949,0.35
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.93,18.65,0.99,0.91,0.84,974,0.19
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.97,11.09,0.61,0.94,0.91,701,0.4
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.83,17.22,1.02,0.92,0.76,716,0.47
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.89,19.84,1.06,0.87,0.78,371,0.54
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.94,16.07,0.81,0.88,0.83,482,0.34
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.83,10.76,0.58,0.89,0.74,871,0.35
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.84,12.97,0.74,0.86,0.72,325,0.24
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.83,12.01,0.69,0.85,0.71,485,0.48
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.93,11.44,0.64,0.85,0.8,568,0.39
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.92,13.78,0.81,0.93,0.85,459,0.4
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.88,14.81,0.8,0.91,0.8,243,0.49
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.89,18.47,0.96,0.87,0.77,935,0.36
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.89,13.53,0.7,0.94,0.84,966,0.2
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.96,14.84,0.86,0.91,0.87,906,0.53
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.99,10.61,0.63,0.9,0.89,473,0.33
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.96,10.58,0.62,0.91,0.87,451,0.45
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.93,19.53,1.09,0.86,0.8,687,0.43
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.98,16.56,0.95,0.88,0.86,536,0.6
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.92,18.83,1.11,0.89,0.82,662,0.24
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.89,18.67,1.05,0.94,0.84,989,0.42
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.85,19.17,1.11,0.94,0.8,664,0.32
al_1100_recycled,Aluminium 1100,Aluminium,recycled,0.97,19.82,1.16,0.86,0.83,437,0.34
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,184.33,10.05,0.73,0.09,836,0.39
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,214.59,11.53,0.74,0.08,471,0.56
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,209.95,10.99,0.73,0.05,278,0.2
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,183.08,10.62,0.77,0.11,590,0.54
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,188.57,9.81,0.76,0.05,698,0.39
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,182.35,9.69,0.73,0.03,510,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,210.11,10.92,0.71,0.07,798,0.28
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,207.58,10.44,0.72,0.03,942,0.49
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,182.63,10.79,0.8,0.12,271,0.43
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,187.95,10.21,0.75,0.04,243,0.32
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,185.54,10.63,0.76,0.06,341,0.22
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,188.23,9.6,0.76,0.09,721,0.58
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,215.09,12.44,0.72,0.06,338,0.47
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,214.36,10.74,0.7,0.04,849,0.3
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,196.55,10.45,0.77,0.07,875,0.23
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,217.79,11.04,0.77,0.11,589,0.32
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,190.31,10.7,0.78,0.1,733,0.18
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,192.17,9.9,0.77,0.04,201,0.45
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,188.23,10.03,0.72,0.05,440,0.28
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,201.21,11.88,0.73,0.07,500,0.29
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,180.77,10.54,0.75,0.1,626,0.58
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,180.9,9.72,0.75,0.06,761,0.59
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,192.86,10.06,0.78,0.04,893,0.24
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,181.53,9.32,0.75,0.02,476,0.42
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,181.22,10.8,0.75,0.1,347,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,184.99,9.29,0.75,0.11,357,0.33
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,198.54,10.28,0.77,0.09,976,0.35
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,205.86,10.86,0.72,0.06,604,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,196.25,11.39,0.71,0.03,781,0.22
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,197.66,11.05,0.73,0.04,963,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,183.38,10.86,0.71,0.06,499,0.19
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,200.01,10.69,0.71,0.03,394,0.51
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,180.27,10.67,0.7,0.05,663,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,219.83,13.05,0.78,0.08,234,0.19
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,193.83,10.04,0.78,0.1,498,0.41
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,189.98,10.92,0.73,0.06,434,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,203.41,11.97,0.79,0.04,942,0.48
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,212.48,11.02,0.73,0.05,713,0.37
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,181.45,9.98,0.75,0.11,892,0.53
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,218.65,11.93,0.76,0.05,521,0.42
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,217.56,10.94,0.77,0.09,993,0.31
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,208.31,12.12,0.76,0.1,335,0.52
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,185.1,10.73,0.71,0.04,207,0.24
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,216.88,12.92,0.78,0.07,987,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,192.57,10.93,0.76,0.07,295,0.52
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,192.64,10.77,0.72,0.09,452,0.36
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,183.17,10.68,0.72,0.05,598,0.37
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,180.35,9.97,0.77,0.03,858,0.31
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,196.05,11.4,0.75,0.06,765,0.45
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,185.98,10.82,0.76,0.03,806,0.53
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,187.15,9.44,0.77,0.09,538,0.21
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,216.81,12.86,0.74,0.11,923,0.39
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,215.68,11.77,0.76,0.07,923,0.53
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,205.9,11.83,0.77,0.06,679,0.33
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,193.17,10.57,0.79,0.11,820,0.38
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,192.28,9.73,0.73,0.07,579,0.44
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,180.69,9.77,0.75,0.07,643,0.23
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,209.84,12.12,0.71,0.08,278,0.41
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,211.33,11.15,0.75,0.1,626,0.42
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,204.01,10.46,0.74,0.06,781,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,190.33,10.99,0.73,0.07,687,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,213.9,11.84,0.73,0.05,329,0.37
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,192.35,10.73,0.78,0.1,964,0.34
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,205.89,11.47,0.73,0.07,221,0.26
al_3003_primary,Aluminium 3003,Aluminium,primary,0.02,209.82,11.45,0.79,0.02,599,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,204.94,10.83,0.78,0.03,549,0.4
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,218.62,12.59,0.7,0.1,382,0.29
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,190.15,10.75,0.74,0.02,895,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,219.96,11.26,0.74,0.04,844,0.36
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,187.86,10.54,0.78,0.06,319,0.4
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,212.91,11.27,0.76,0.11,766,0.31
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,205.75,10.49,0.75,0.06,366,0.32
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,191.25,9.81,0.72,0.07,976,0.34
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,208.32,11.33,0.77,0.08,452,0.44
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,207.93,11.0,0.75,0.1,229,0.32
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,218.38,12.46,0.79,0.03,644,0.41
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,201.23,11.27,0.76,0.06,321,0.51
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,216.82,12.82,0.73,0.04,878,0.32
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,194.23,10.09,0.75,0.06,736,0.51
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,213.76,11.18,0.8,0.07,718,0.21
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,199.2,11.93,0.8,0.11,750,0.4
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,199.41,11.24,0.79,0.03,675,0.35
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,214.07,10.9,0.77,0.04,340,0.47
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,183.0,10.54,0.74,0.05,866,0.3
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,185.37,11.0,0.76,0.08,295,0.38
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,184.39,9.57,0.76,0.05,887,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,185.67,9.54,0.74,0.07,274,0.35
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,205.31,11.07,0.76,0.11,421,0.45
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,184.19,10.04,0.75,0.08,810,0.18
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,185.13,10.9,0.78,0.09,207,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,208.48,11.08,0.75,0.05,994,0.57
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,191.74,10.07,0.73,0.1,409,0.52
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,186.05,10.17,0.78,0.06,771,0.35
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,186.31,9.74,0.77,0.06,820,0.3
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,181.92,9.96,0.72,0.09,405,0.52
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,203.54,10.41,0.8,0.09,723,0.46
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,186.02,9.74,0.71,0.02,590,0.27
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,196.53,11.43,0.76,0.08,352,0.6
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,200.59,11.63,0.72,0.03,532,0.59
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,196.44,10.96,0.71,0.09,690,0.41
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,206.81,11.48,0.76,0.09,491,0.43
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,181.28,10.56,0.74,0.08,368,0.38
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,182.01,10.01,0.79,0.07,714,0.37
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,217.85,11.74,0.71,0.1,304,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,204.94,11.79,0.76,0.11,901,0.37
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,211.12,11.92,0.74,0.11,292,0.23
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,193.86,10.27,0.74,0.1,644,0.47
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,198.23,10.03,0.78,0.03,502,0.17
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,191.84,10.1,0.7,0.06,890,0.27
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,184.8,10.95,0.79,0.03,659,0.19
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,196.99,10.08,0.7,0.02,673,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,205.02,12.1,0.74,0.03,830,0.52
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,212.04,11.52,0.74,0.04,571,0.58
al_3003_primary,Aluminium 3003,Aluminium,primary,0.02,193.85,11.59,0.77,0.02,750,0.23
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,209.68,10.98,0.78,0.08,255,0.36
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,181.67,9.39,0.73,0.04,823,0.21
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,197.67,10.28,0.74,0.06,219,0.15
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,201.87,10.51,0.74,0.09,308,0.39
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,182.04,10.22,0.79,0.11,473,0.36
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,211.84,11.23,0.76,0.09,739,0.51
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,191.14,10.22,0.74,0.09,200,0.28
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,191.47,10.8,0.79,0.11,910,0.19
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,203.47,11.37,0.72,0.05,543,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,207.85,12.44,0.73,0.11,898,0.24
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,192.56,10.13,0.76,0.03,539,0.33
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,192.42,11.31,0.74,0.08,528,0.42
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,187.72,10.95,0.72,0.1,652,0.59
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,189.47,9.53,0.74,0.02,694,0.5
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,212.94,11.64,0.74,0.1,828,0.43
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,192.77,10.72,0.76,0.11,251,0.36
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,212.57,11.0,0.78,0.08,859,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,217.68,12.51,0.79,0.09,371,0.57
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,184.1,10.69,0.76,0.07,326,0.28
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,219.46,12.05,0.75,0.02,994,0.49
al_3003_primary,Aluminium 3003,Aluminium,primary,0.02,191.32,10.38,0.78,0.02,536,0.24
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,201.37,10.89,0.78,0.09,950,0.29
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,211.32,12.2,0.74,0.02,599,0.26
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,205.76,11.64,0.8,0.03,269,0.27
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,184.77,10.01,0.71,0.09,926,0.52
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,197.56,9.98,0.79,0.05,843,0.59
al_3003_primary,Aluminium 3003,Aluminium,primary,0.02,200.1,10.74,0.74,0.02,867,0.49
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,188.16,9.81,0.75,0.07,262,0.42
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,191.25,11.45,0.7,0.05,547,0.52
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,196.57,11.59,0.73,0.04,565,0.6
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,212.93,11.96,0.73,0.06,846,0.24
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,194.81,10.28,0.7,0.04,932,0.4
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,199.0,11.21,0.76,0.07,301,0.33
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,219.61,13.04,0.71,0.03,320,0.39
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,194.7,10.48,0.75,0.06,289,0.41
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,189.77,11.19,0.72,0.07,800,0.45
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,202.21,11.13,0.74,0.03,326,0.48
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,218.62,13.06,0.8,0.04,405,0.45
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,194.27,11.04,0.72,0.03,829,0.48
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,197.96,11.77,0.74,0.08,489,0.21
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,180.49,9.98,0.72,0.08,598,0.39
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,183.12,9.32,0.72,0.05,814,0.34
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,186.78,11.1,0.75,0.06,871,0.57
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,219.48,11.77,0.77,0.09,650,0.38
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,202.13,10.69,0.78,0.06,430,0.5
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,183.15,9.42,0.78,0.09,685,0.24
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,184.83,9.96,0.76,0.04,249,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.02,199.11,11.41,0.75,0.02,606,0.59
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,188.2,10.5,0.72,0.04,873,0.46
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,182.66,9.39,0.79,0.12,615,0.31
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,205.74,10.95,0.75,0.1,366,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,182.77,9.84,0.72,0.08,910,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,215.43,11.29,0.72,0.08,754,0.56
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,209.23,10.73,0.73,0.08,652,0.58
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,189.92,11.31,0.7,0.06,732,0.2
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,205.92,12.04,0.7,0.1,956,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,201.41,10.83,0.74,0.06,919,0.45
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,203.66,11.18,0.76,0.11,443,0.5
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,189.06,10.42,0.7,0.06,745,0.21
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,190.15,10.3,0.76,0.09,202,0.27
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,189.52,10.09,0.79,0.1,533,0.53
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,190.89,10.14,0.78,0.03,622,0.4
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,183.95,9.27,0.71,0.06,414,0.33
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,193.94,10.21,0.78,0.09,358,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,184.17,10.77,0.74,0.08,585,0.33
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,207.07,12.3,0.8,0.04,317,0.35
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,193.42,9.89,0.78,0.06,212,0.4
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,195.95,11.32,0.71,0.07,579,0.57
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,188.34,10.7,0.71,0.1,262,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,186.11,10.05,0.78,0.05,717,0.56
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,205.19,10.36,0.79,0.11,784,0.49
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,218.26,12.24,0.75,0.07,449,0.53
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,200.55,11.87,0.71,0.05,686,0.33
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,214.21,12.53,0.76,0.06,983,0.18
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,210.65,11.98,0.78,0.03,681,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,191.07,11.32,0.79,0.1,715,0.56
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,208.25,10.53,0.71,0.02,696,0.46
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,217.6,12.46,0.71,0.02,539,0.2
al_3003_primary,Aluminium 3003,Aluminium,primary,0.02,202.42,10.25,0.73,0.02,391,0.36
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,213.69,11.45,0.7,0.02,265,0.21
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,215.18,11.22,0.71,0.03,411,0.4
al_3003_primary,Aluminium 3003,Aluminium,primary,0.08,188.33,10.23,0.77,0.06,742,0.6
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,188.36,9.47,0.77,0.07,691,0.37
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,193.46,11.45,0.74,0.09,365,0.39
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,209.3,12.02,0.75,0.04,812,0.38
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,204.42,10.26,0.73,0.08,879,0.24
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,183.06,10.13,0.71,0.06,710,0.48
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,219.21,12.04,0.72,0.09,785,0.53
al_3003_primary,Aluminium 3003,Aluminium,primary,0.11,209.39,12.38,0.77,0.08,520,0.31
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,197.4,10.16,0.74,0.07,229,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,208.16,12.45,0.71,0.03,412,0.49
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,210.39,10.87,0.76,0.05,704,0.47
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,194.13,10.79,0.7,0.08,962,0.38
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,201.16,11.51,0.76,0.1,845,0.26
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,191.75,10.54,0.78,0.08,550,0.33
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,206.37,11.69,0.79,0.03,969,0.5
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,215.82,12.02,0.76,0.04,376,0.31
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,191.53,11.2,0.78,0.1,699,0.57
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,217.21,10.99,0.72,0.09,347,0.21
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,211.11,11.21,0.78,0.11,830,0.3
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,206.58,11.55,0.76,0.09,838,0.56
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,191.18,10.08,0.77,0.08,444,0.26
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,218.42,11.13,0.74,0.05,668,0.32
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,187.03,10.97,0.73,0.02,224,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.13,201.28,10.36,0.78,0.1,669,0.46
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,188.43,10.06,0.79,0.1,375,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,213.38,12.38,0.72,0.02,992,0.56
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,185.89,11.04,0.74,0.1,827,0.57
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,189.68,10.4,0.73,0.05,240,0.16
al_3003_primary,Aluminium 3003,Aluminium,primary,0.02,208.1,11.63,0.75,0.02,800,0.42
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,209.81,11.29,0.8,0.08,996,0.55
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,201.92,10.95,0.78,0.06,932,0.43
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,210.77,11.99,0.76,0.03,930,0.5
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,202.78,10.46,0.76,0.1,382,0.6
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,189.63,11.23,0.77,0.05,885,0.28
al_3003_primary,Aluminium 3003,Aluminium,primary,0.09,206.84,11.89,0.75,0.07,653,0.23
al_3003_primary,Aluminium 3003,Aluminium,primary,0.05,213.18,12.19,0.75,0.04,679,0.15
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,209.49,11.34,0.77,0.03,792,0.25
al_3003_primary,Aluminium 3003,Aluminium,primary,0.15,219.46,12.96,0.73,0.11,754,0.29
al_3003_primary,Aluminium 3003,Aluminium,primary,0.06,192.38,10.0,0.74,0.05,311,0.26
al_3003_primary,Aluminium 3003,Aluminium,primary,0.02,204.25,11.58,0.76,0.02,880,0.34
al_3003_primary,Aluminium 3003,Aluminium,primary,0.03,199.21,10.4,0.75,0.02,360,0.53
al_3003_primary,Aluminium 3003,Aluminium,primary,0.14,183.9,9.6,0.71,0.1,837,0.26
al_3003_primary,Aluminium 3003,Aluminium,primary,0.12,217.0,12.07,0.78,0.09,758,0.29
al_3003_primary,Aluminium 3003,Aluminium,primary,0.1,213.76,12.24,0.78,0.08,430,0.29
al_3003_primary,Aluminium 3003,Aluminium,primary,0.07,187.85,11.27,0.76,0.05,936,0.54
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,181.29,9.42,0.72,0.03,211,0.49
al_3003_primary,Aluminium 3003,Aluminium,primary,0.04,197.26,11.24,0.7,0.03,305,0.46
